"Precip_day","dayDate","vehicule_1_cadmin","vehicle_2_cadmin","usager_1_grav","Long","Lat","DayOfWeek","Day","Month","Year","Hour","FourHours","adresse","carr","year_quarter","MonthYear","TempMin","TempMax","Precip","DureeEnsol","Temp_max","Temp_min","Freq"
0,2012-01-12,"Voiture","Vélo","Aucun Blessé",2.331507,48.837615,"Mercredi",11,"Janvier",2012,19,"16H-20H","261, BOULEVARD RASPAIL",NA,"2012 Q1","Janvier 2012",4.9,9.4,24,63.3,11.8,8.8,7114
0,2012-07-22,"Vélo","Aucun","Blessé Léger",2.339661,48.8882,"Dimanche",22,"Juillet",2012,9,"08H-12H","17, RUE DES SAULES",NA,"2012 Q3","Juillet 2012",15.1,24,70.9,210.4,24.3,14.4,7114
0,2012-01-12,"Deux Roues > 125","Voiture","Blessé Léger",2.33363,48.853636,"Jeudi",12,"Janvier",2012,1,"00H-04H","RUE BONAPARTE","1_75106_5239","2012 Q1","Janvier 2012",4.9,9.4,24,63.3,11.8,8.8,7114
0,2012-07-09,"Voiture","Deux Roues 50-125","Aucun Blessé",2.30938,48.854239,"Lundi",9,"Juillet",2012,8,"08H-12H","96, BOULEVARD DE LA TOUR","1_75107_3188","2012 Q3","Juillet 2012",15.1,24,70.9,210.4,24,16.5,7114
0,2012-07-09,"Deux Roues > 125","Voiture","Aucun Blessé",2.371007,48.847565,"Dimanche",8,"Juillet",2012,17,"16H-20H","40, AVENUE LEDRU ROLLIN","1_75112_9046","2012 Q3","Juillet 2012",15.1,24,70.9,210.4,24,16.5,7114
0,2012-07-23,"Voiture","Voiture","Blessé Léger",2.324711,48.832273,"Dimanche",22,"Juillet",2012,22,"20H-00H","2, RUE DES PLANTES","1_75114_4407","2012 Q3","Juillet 2012",15.1,24,70.9,210.4,27.4,17.6,7114
0,2013-01-08,"Deux Roues > 125","Aucun","Aucun Blessé",2.331778,48.852096,"Lundi",7,"Janvier",2013,12,"12H-16H","57, RUE DE RENNES","1_75106_5036","2013 Q1","Janvier 2013",2.4,5.9,42.2,33.3,6.2,4.9,7114
0,2013-01-08,"Deux Roues > 125","Aucun","Blessé Léger",2.39025,48.858067,"Lundi",7,"Janvier",2013,22,"20H-00H","149, BOULEVARD DE CHARON","1_75111_10630","2013 Q1","Janvier 2013",2.4,5.9,42.2,33.3,6.2,4.9,7114
0,2013-01-08,"Vélo","Aucun","Blessé Léger",2.339345,48.874932,"Lundi",7,"Janvier",2013,17,"16H-20H","43, RUE LE PELETIER","1_75109_5806","2013 Q1","Janvier 2013",2.4,5.9,42.2,33.3,6.2,4.9,7114
0,2012-07-22,"Deux Roues > 125","Voiture","Aucun Blessé",2.292921,48.856355,"Samedi",21,"Juillet",2012,20,"20H-00H","13, AVENUE DE SUFFREN","1_75107_1907","2012 Q3","Juillet 2012",15.1,24,70.9,210.4,24.3,14.4,7114
0,2012-01-12,"Deux Roues 50-125","Aucun","Blessé Léger",2.321948,48.866811,"Jeudi",12,"Janvier",2012,6,"04H-08H","PLACE DE LA CONCORDE","1_75108_3956","2012 Q1","Janvier 2012",4.9,9.4,24,63.3,11.8,8.8,7114
0,2012-01-22,"Voiture","Deux Roues 50-125","Aucun Blessé",2.259982,48.840163,"Samedi",21,"Janvier",2012,15,"12H-16H","32, BOULEVARD MURAT","1_75116_228","2012 Q1","Janvier 2012",4.9,9.4,24,63.3,11.7,8.9,7114
0,2012-01-12,"Deux Roues > 125","Voiture","Blessé Léger",2.297366,48.884913,"Mercredi",11,"Janvier",2012,12,"12H-16H","01, PLACE DU MARECHAL JU","1_75117_2286","2012 Q1","Janvier 2012",4.9,9.4,24,63.3,11.8,8.8,7114
0,2012-07-22,"Voiture","Deux Roues 50-125","Blessé Léger",2.377314,48.870547,"Samedi",21,"Juillet",2012,19,"16H-20H","43, RUE DE L ORILLON","1_75111_9631","2012 Q3","Juillet 2012",15.1,24,70.9,210.4,24.3,14.4,7114
